知道 zhidao
平坦 pingtan
贴心 tiexin
浩大 haoda
来劲 laijin
有劲 youjin
洪大 hongda
耐看 naikan
轻软 qingruan
松脆 songcui
轻 qing
近 jin
慌张 huangzhang
扭捏 niunie
酥松 susong
平凡 pingfan
激动 jidong
苦 ku
毛糙 maocao
老 lao
蓝 lan
干瘪 ganbie
粗大 cuda
伤怀 shanghuai
焦脆 jiaocui
平易 pingyi
明媚 mingmei
黄 huang
痴傻 chisha
戋戋 jianjian
嘴尖 zuijian
甘脆 gancui
酷烈 kulie
鲜 xian
戒慎 jieshen
酥软 suruan
传神 chuanshen
鄙陋 bilou
低级 diji
亲密 qinmi
秀媚 xiumei
凡庸 fanyong
宽仁 kuanren
低沉 dichen
长 chang
笨头笨脑 bentoubennao
浅陋 qianlou
肤泛 fufan
刁顽 diaowan
拔尖 bajian
奥博 aobo
各别 gebie
冥顽 mingwan
浅易 qianyi
颖慧 yinghui
押韵 yayun
黠慧 xiahui
入神 rushen
颓圮 tuipi
优柔 yourou
和悦 heyue
和悦 huoyue
拖沓 tuoda
渊博 yuanbo
轻快 qingkuai
杂沓 zada
精确 jingque
娇痴 jiaochi
奢靡 shemi
浓密 nongmi
邋遢 lata
怡神 yishen
清瘦 qingshou
响亮 xiangliang
缺德 quede
费解 feijie
慎密 shenmi
真确 zhenque
操神 caoshen
消沉 xiaochen
壮健 zhuangjian
褊狭 bianxia
繁博 fanbo
稠密 choumi
昏沉 hunchen
瘦瘠 shouji
齐楚 qichu
古板 guban
悲怆 beichuang
枯瘦 kushou
顽皮 wanpi
繁密 fanmi
细密 ximi
绵密 mianmi
缜密 zhenmi
疲沓 pida
丰盈 fengying
欺生 qisheng
不要脸 buyaolian
简捷 jianjie
纤瘦 xianshou
痴钝 chidun
诡异 guiyi
诧异 chayi
怕生 pasheng
难解 nanjie
瘠瘦 jishou
醒豁 xinghuo
娇媚 jiaomei
古老 gulao
入迷 rumi
凄迷 qimi
精彩 jingcai
耐用 naiyong
浅白 qianbai
彪悍 biaohan
刁悍 diaohan
纤柔 xianrou
背静 beijing
忠君爱国 zhongjunaiguo
工整 gongzheng
险诈 xianzha
滑腻 huani
顶用 dingyong
宽展 kuanzhan
眼生 yansheng
有趣 youqu
黏稠 nianchou
毛躁 maozao
刁滑 diaohua
无趣 wuqu
齐全 qiquan
尖锐 jianrui
皓白 haobai
万幸 wanxing
臃肿 yongzhong
急躁 jizao
寡淡 guadan
偏科 pianke
暴躁 baozao
暴躁 puzao
迅急 xunji
心虚 xinxu
起急 qiji
亮堂 liangtang
知趣 zhiqu
懒惰 landuo
好玩儿 haowaner
缓慢 huanman
松弛 songchi
冷淡 lengdan
机巧 jiqiao
犷悍 guanghan
柔滑 rouhua
狂躁 kuangzao
不妙 bumiao
刺耳 cier
烦躁 fanzao
清癯 qingqu
富裕 fuyu
轻浮 qingfu
清洌 qinglie
尖削 jianxiao
温煦 wenxu
宁谧 ningmi
浅淡 qiandan
肉麻 rouma
细条 xitiao
恬淡 tiandan
侠义 xiayi
稀奇 xiqi
暗淡 andan
充裕 chongyu
顺畅 shunchang
价廉 jialian
低廉 dilian
微妙 weimiao
凄冷 qileng
猖獗 changjue
起劲 qijin
费劲 feijin
邪乎 xiehu
娇小 jiaoxiao
郁悒 yuyi
素淡 sudan
俊雅 junya
丰硕 fengshuo
重要 zhongyao
幼小 youxiao
较大 jiaoda
清冷 qingleng
弱小 ruoxiao
耳背 erbei
过瘾 guoyin
仁慈 renci
胆大 danda
乖巧 guaiqiao
落寞 luomo
落寞 laomo
娴雅 xianya
粗率 culv
宽旷 kuankuang
高大 gaoda
希有 xiyou
幽雅 youya
执拗 zhiao
高尚 gaoshang
曼妙 manmiao
密致 mizhi
歆羡 xinxian
空廓 kongkuo
雄劲 xiongjin
古雅 guya
凶暴 xiongbao
好玩 haowan
酥脆 sucui
别致 biezhi
湿热 shire
贤淑 xianshu
委琐 weisuo
光鲜 guangxian
横暴 hengbao
雄大 xiongda
小巧 xiaoqiao
骄纵 jiaozong
玄妙 xuanmiao
好笑 haoxiao
温雅 wenya
凑巧 couqiao
秀丽 xiuli
丰茂 fengmao
窄小 zhaixiao
窈窕 yaotiao
新颖 xinying
宽敞 kuanchang
淡雅 danya
柔嫩 rounen
高超 gaochao
气盛 qisheng
稀有 xiyou
文雅 wenya
小器 xiaoqi
娇嫩 jiaonen
炙热 zhire
富 fu
炽热 chire
秀雅 xiuya
燠热 yure
好 hao
圆熟 yuanshu
幼嫩 younen
狂暴 kuangbao
强 qiang
强 jiang
精到 jingdao
小 xiao
火暴 huobao
新巧 xinqiao
气粗 qicu
光艳 guangyan
冶艳 yeyan
悲凄 beiqi
不振 buzhen
细巧 xiqiao
冷 leng
哀艳 aiyan
忧戚 youqi
搞笑 gaoxiao
吝啬 linse
露骨 lugu
露骨 lougu
坏 huai
莽撞 mangzhuang
萧飒 xiaosa
不良 buliang
劳乏 laofa
费神 feishen
阴森 yinsen
烦琐 fansuo
精辟 jingbi
困乏 kunfa
浓艳 nongyan
茂密 maomi
轻捷 qingjie
迅捷 xunjie
挑嘴 tiaozui
驽钝 nudun
新 xin
明艳 mingyan
高级 gaoji
杰出 jiechu
娇贵 jiaogui
矍铄 jueshuo
虚浮 xufu
心诚 xincheng
宝贵 baogui
不赖 bulai
上口 shangkou
鲁钝 ludun
焦炙 jiaozhi
剔透 titou
无道 wudao
惨痛 cantong
认生 rensheng
繁茂 fanmao
仁厚 renhou
红艳 hongyan
粗豪 cuhao
劬劳 qulao
可贵 kegui
纯 chun
特出 techu
新鲜 xinxian
穷乏 qiongfa
相配 xiangpei
轻柔 qingrou
崇高 chonggao
名贵 minggui
健壮 jianzhuang
迂腐 yufu
耳生 ersheng
粗重 cuzhong
脆生 cuisheng
家贫 jiapin
阴沉 yinchen
惊骇 jinghai
温良 wenliang
深透 shentou
挚诚 zhicheng
惜福 xifu
相像 xiangxiang
悃诚 kuncheng
诡秘 guimi
稳当 wendang
可口 kekou
稳练 wenlian
倨傲 juao
清高 qinggao
长舌 changshe
识趣 shiqu
冷傲 lengao
忙乱 mangluan
悲壮 beizhuang
陌生 mosheng
面生 miansheng
繁多 fanduo
心甘 xingan
清口 qingkou
可怕 kepa
有情 youqing
阴柔 yinrou
凌乱 lingluan
和煦 hexu
和煦 huoxu
雄健 xiongjian
珍贵 zhengui
规整 guizheng
粗壮 cuzhuang
精壮 jingzhuang
受宠 shouchong
浩渺 haomiao
矜贵 jingui
矜贵 qingui
谦恭 qiangong
激愤 jifen
神速 shensu
疲乏 pifa
杳渺 yaomiao
低哑 diya
昏乱 hunluan
骄慢 jiaoman
稀少 xishao
健谈 jiantan
爽口 shuangkou
撩乱 liaoluan
合辙 hezhe
狂傲 kuangao
散乱 sanluan
富态 futai
荒淫 huangyin
赏心 shangxin
深湛 shenzhan
齐整 qizheng
壮实 zhuangshi
繁乱 fanluan
简练 jianlian
妥实 tuoshi
缭乱 liaoluan
冬烘 donghong
不成器 buchengqi
卓异 zhuoyi
狂乱 kuangluan
讨嫌 taoxian
安妥 antuo
烦乱 fanluan
寒微 hanwei
平妥 pingtuo
巧妙 qiaomiao
善辩 shanbian
精湛 jingzhan
嘶哑 siya
乖僻 guaipi
少见 shaojian
悠久 youjiu
不周 buzhou
委婉 weiwan
丰美 fengmei
幽婉 youwan
直白 zhibai
俊美 junmei
无理 wuli
不灵 buling
沙哑 shaya
洗练 xilian
锋锐 fengrui
顺耳 shuner
得体 deti
薄幸 baoxing
薄幸 boxing
忧悒 youyi
细致 xizhi
卓著 zhuozhu
销魂 xiaohun
轻妙 qingmiao
翔实 xiangshi
幽美 youmei
稳妥 wentuo
温婉 wenwan
锐敏 ruimin
浑噩 hune
元始 yuanshi
相似 xiangsi
偏僻 pianpi
精练 jinglian
粗哑 cuya
冷僻 lengpi
俏皮 qiaopi
细微 xiwei
可喜 kexi
凄美 qimei
镇定 zhending
熟练 shulian
短简 duanjian
柔婉 rouwan
廉正 lianzheng
和美 hemei
和美 huomei
唯美 weimei
罕见 hanjian
拮据 jieju
耐旱 naihan
刚正 gangzheng
强固 qianggu
强固 jianggu
牢靠 laokao
贴题 tieti
气不过 qibuguo
耐热 naire
水灵 shuiling
烦嚣 fanxiao
坚固 jiangu
苗条 miaotiao
忸怩 niuni
光火 guanghuo
乖谬 guaimiu
骄矜 jiaojin
坚牢 jianlao
肥硕 feishuo
空灵 kongling
轻巧 qingqiao
秀美 xiumei
高雅 gaoya
精美 jingmei
直挺 zhiting
棘手 jishou
爱美 aimei
善变 shanbian
良好 lianghao
伶俐 lingli
龌龊 wochuo
贪财 tancai
生僻 shengpi
扎手 zhashou
深挚 shenzhi
抢手 qiangshou
卑下 beixia
甘美 ganmei
板滞 banzhi
恳挚 kenzhi
松软 songruan
怪僻 guaipi
窝火 wohuo
稔熟 renshu
切题 qieti
奇崛 qijue
奇崛 jijue
紧固 jingu
谐和 xiehe
雅致 yazhi
牢固 laogu
安详 anxiang
红火 honghuo
机变 jibian
纯熟 chunshu
萧森 xiaosen
心急 xinji
般配 banpei
恩爱 enai
忠顺 zhongshun
热火 rehuo
贪嘴 tanzui
窘困 jiongkun
活便 huobian
不均 bujun
透辟 toubi
淫邪 yinxie
烫手 tangshou
周密 zhoumi
周详 zhouxiang
悖谬 beimiu
香醇 xiangchun
稳便 wenbian
简便 jianbian
湍急 tuanji
聒耳 guoer
平展 pingzhan
鲜艳 xianyan
羞怯 xiuqie
温顺 wenshun
不名誉 bumingyu
尖刻 jianke
高 gao
不同 butong
鲜嫩 xiannen
宽广 kuanguang
饱 bao
灵便 lingbian
黑 hei
恭顺 gongshun
勤朴 qinpu
省便 shengbian
省便 xingbian
诚笃 chengdu
昂藏 angcang
奇丽 qili
奇丽 jili
妍丽 yanli
幽丽 youli
重 zhong
酸痛 suantong
寒凉 hanliang
耐劳 nailao
沉郁 chenyu
浓郁 nongyu
豪壮 haozhuang
抑郁 yiyu
火急 huoji
不值 buzhi
舒服 shufu
肥壮 feizhuang
抱团 baotuan
驯良 xunliang
畅顺 changshun
气恼 qinao
通透 tongtou
顺服 shunfu
扑朔 pushuo
清澄 qingcheng
薄情 baoqing
薄情 boqing
明丽 mingli
详尽 xiangjin
好强 haoqiang
扫兴 saoxing
高傲 gaoao
端丽 duanli
荒乱 huangluan
跄踉 qiangliang
繁丽 fanli
忿恨 fenhen
倔强 jueqiang
美丽 meili
谙练 anlian
坚强 jianqiang
蓬乱 pengluan
好胜 haosheng
可恨 kehen
适口 shikou
骇怕 haipa
悲愁 beichou
轻灵 qingling
狰狞 zhengning
愚懦 yunuo
瘦小 shouxiao
匀称 yuncheng
空疏 kongshu
稀疏 xishu
穷愁 qiongchou
慈祥 cixiang
低凹 diao
郁愤 yufen
粗疏 cushu
颟顸 manhan
划不来 huabulai
严峻 yanjun
生疏 shengshu
宜人 yiren
怕死 pasi
酸麻 suanma
牵强 qianqiang
好闻 haowen
耐久 naijiu
动人 dongren
丢脸 diulian
养人 yangren
噜苏 lusu
奇痒 qiyang
奇痒 jiyang
骇异 haiyi
谦卑 qianbei
灵通 lingtong
烦冗 fanrong
刺痒 ciyang
灵验 lingyan
颓废 tuifei
颖悟 yingwu
自卑 zibei
恼人 naoren
惊人 jingren
感人 ganren
亲爱 qinai
浩繁 haofan
难耐 nannai
颓丧 tuisang
眼热 yanre
丰厚 fenghou
优厚 youhou
淫荡 yindang
累人 leiren
谐美 xiemei
烦人 fanren
平正 pingzheng
肥美 feimei
臭美 choumei
臭美 xiumei
知足 zhizu
亲睦 qinmu
凶横 xiongheng
端庄 duanzhuang
昏聩 hunkui
健忘 jianwang
可爱 keai
软绵 ruanmian
挺括 tingkuo
可怖 kebu
争气 zhengqi
鲜美 xianmei
诚挚 chengzhi
易爆 yibao
善忘 shanwang
松散 songsan
困惫 kunbei
寒峭 hanqiao
没上没下 meishangmeixia
调皮 diaopi
调皮 tiaopi
和婉 hewan
和婉 huowan
清正 qingzheng
辣手 lashou
痒痒 yangyang
静美 jingmei
耳熟 ershu
峻峭 junqiao
轻薄 qingbao
伶仃 lingding
顽固 wangu
驯熟 xunshu
丰足 fengzu
板正 banzheng
冷峭 lengqiao
婉约 wanyue
渺茫 miaomang
恐怖 kongbu
惊怖 jingbu
浑厚 hunhou
浓厚 nonghou
缠手 chanshou
幽寂 youji
深厚 shenhou
淳厚 chunhou
浩茫 haomang
孟浪 menglang
荒僻 huangpi
委顿 weidun
岑寂 cenji
轻便 qingbian
近便 jinbian
可气 keqi
原始 yuanshi
敦厚 dunhou
仓卒 cangzu
笃厚 duhou
酸软 suanruan
愤激 fenji
木讷 mune
练达 lianda
腿勤 tuiqin
死寂 siji
厚道 houdao
粗厚 cuhou
超然 chaoran
倜傥 titang
轻佻 qingtiao
充足 chongzu
烧包 shaobao
阴湿 yinshi
畅达 changda
景气 jingqi
毅勇 yiyong
谦冲 qianchong
确凿 quezao
权诈 quanzha
显眼 xianyan
丢人 diuren
空寂 kongji
可观 keguan
良善 liangshan
惊惧 jingju
惶惧 huangju
悚惧 songju
时新 shixin
悍勇 hanyong
心灰 xinhui
简略 jianlve
喧噪 xuanzao
陆离 luli
神勇 shenyong
宽绰 kuanchuo
好喝 haohe
弥坚 mijian
淫靡 yinmi
疲顿 pidun
匀整 yunzheng
痛快 tongkuai
轻微 qingwei
荧惑 yinghuo
杂乱 zaluan
凶狂 xiongkuang
蹩脚 biejiao
奢华 shehua
寡闻 guawen
短命 duanming
喜人 xiren
阴郁 yinyu
有效 youxiao
细腻 xini
听话 tinghua
甜香 tianxiang
简短 jianduan
不齐 buqi
渊深 yuanshen
怕人 paren
烦腻 fanni
风凉 fengliang
不自量 buziliang
纳闷儿 namener
宏赡 hongshan
靓丽 jingli
古怪 guguai
嘴馋 zuichan
含混 hanhun
硬 ying
解恨 jiehen
解恨 xiehen
和蔼 heai
和蔼 huoai
蹭蹬 cengdeng
显赫 xianhe
妖艳 yaoyan
没意思 meiyisi
佼佼 jiaojiao
适切 shiqie
离谱 lipu
繁华 fanhua
有益 youyi
痴狂 chikuang
可敬 kejing
便宜 bianyi
极好 jihao
愚笨 yuben
不俗 busu
低俗 disu
气馁 qinei
守分 shoufen
安分 anfen
烦闷 fanmen
心硬 xinying
繁难 fannan
清冽 qinglie
诱人 youren
刚硬 gangying
卖力 maili
懒怠 landai
谨严 jinyan
最低 zuidi
糟糕 zaogao
坚硬 jianying
愁闷 choumen
吃力 chili
憋闷 biemen
庸俗 yongsu
称身 chengshen
称身 chenshen
合宜 heyi
煊赫 xuanhe
耐穿 naichuan
面善 mianshan
寥落 liaoluo
偏狭 pianxia
疲累 pilei
活分 huofen
羞赧 xiunan
陡峻 doujun
魁伟 kuiwei
廓落 kuoluo
郁热 yure
果决 guojue
闹热 naore
逗人 douren
高峻 gaojun
愚拙 yuzhuo
合式 heshi
温存 wencun
合身 heshen
生分 shengfen
恶狠 ehen
悦耳 yueer
卑污 beiwu
局促 jucu
莫逆 moni
生硬 shengying
难受 nanshou
干净 ganjing
匆促 congcu
大度 dadu
大度 daidu
匀净 yunjing
雅静 yajing
冷艳 lengyan
罕有 hanyou
有名 youming
严密 yanmi
凄惨 qican
顽梗 wangeng
肥厚 feihou
清净 qingjing
孱弱 canruo
干爽 ganshuang
不得劲 budejin
罗曼蒂克 luomandike
心狠 xinhen
微弱 weiruo
见效 jianxiao
窘促 jiongcu
好吃 haochi
单弱 danruo
单弱 chanruo
活泼 huopo
颓唐 tuitang
凶狠 xionghen
知名 zhiming
低贱 dijian
悦目 yuemu
优美 youmei
高亢 gaokang
华贵 huagui
凄婉 qiwan
妥当 tuodang
白净 baijing
宽阔 kuankuo
壮阔 zhuangkuo
广阔 guangkuo
爽目 shuangmu
暗弱 anruo
微贱 weijian
柔弱 rouruo
夭矫 yaojiao
卑贱 beijian
淫秽 yinhui
密实 mishi
细弱 xiruo
静寂 jingji
纤弱 xianruo
讨人嫌 taorenxian
直爽 zhishuang
奇绝 qijue
奇绝 jijue
可憎 kezeng
瘦弱 shouruo
妙绝 miaojue
豪奢 haoshe
恰当 qiadang
了不起 liaobuqi
淫贱 yinjian
繁缛 fanru
病弱 bingruo
萎靡 weimi
好走 haozou
颓靡 tuimi
紧要 jinyao
难为情 nanweiqing
贞淑 zhenshu
悠闲 youxian
省心 shengxin
省心 xingxin
躁狂 zaokuang
轻狂 qingkuang
雅观 yaguan
惨怛 canda
怠惰 daiduo
迷人 miren
可体 keti
强横 qiangheng
强横 jiangheng
不好惹 buhaore
乖顺 guaishun
溽热 rure
艰深 jianshen
干涩 ganse
奸诈 jianzha
桀骜 jieao
骄狂 jiaokuang
久长 jiuchang
颠狂 diankuang
急促 jicu
通俗 tongsu
修长 xiuchang
深奥 shenao
解馋 jiechan
解馋 xiechan
诡怪 guiguai
寂默 jimo
些小 xiexiao
阔绰 kuochuo
爽脆 shuangcui
娇羞 jiaoxiu
眼晕 yanyun
害羞 haixiu
骇怪 haiguai
枯涩 kuse
短促 duancu
难缠 nanchan
冗长 rongchang
繁忙 fanmang
宽余 kuanyu
倥侗 kongdong
微小 weixiao
疲敝 pibi
虔敬 jing
狡诈 jiaozha
漫长 manchang
手轻 shouqing
深长 shenchang
卤莽 lumang
严谨 yanjin
没羞 meixiu
铺张 puzhang
悠长 youchang
低矮 diai
怕羞 paxiu
落魄 luopo
落魄 laopo
清闲 qingxian
魁梧 kuiwu
不端 buduan
昭彰 zhaozhang
愚顽 yuwan
极小 jixiao
卑鄙 beibi
纤长 xianchang
郁闷 yumen
绮丽 qili
慵懒 yonglan
善良 shanliang
细小 xixiao
纤小 xianxiao
超俗 chaosu
清甜 qingtian
端方 duanfang
狭小 xiaxiao
落泊 luobo
落泊 laobo
激昂 jiang
善哉 shanzai
落拓 luotuo
落拓 laotuo
敌对 didui
喜乐 xile
凄切 qiqie
低下 dixia
矮小 aixiao
瑰玮 guiwei
微薄 weibao
好丑 haochou
怯场 qiechang
疏懒 shulan
单薄 danbao
单薄 chanbao
崎岖 qiqu
激切 jiqie
浩淼 haomiao
浅露 qianlu
鄙俗 bisu
优闲 youxian
丰腴 fengyu
恰切 qiaqie
粗鄙 cubi
冒失 maoshi
显明 xianming
操切 caoqie
酸涩 suanse
著名 zhuming
多才 duocai
轻盈 qingying
晃眼 huangyan
屈才 qucai
伶俜 lingping
幽闲 youxian
浅显 qianxian
惶恐 huangkong
稀薄 xibao
勤谨 qinjin
明显 mingxian
真切 zhenqie
伟岸 weian
现眼 xianyan
适意 shiyi
懦怯 nuoqie
悠忽 youhu
瘠薄 jibao
不好过 buhaoguo
缱绻 qianquan
贫弱 pinruo
狡谲 jiaojue
恭谨 gongjin
荏弱 renruo
难吃 nanchi
得法 defa
伤悲 shangbei
醒目 xingmu
薄弱 baoruo
薄弱 boruo
灿烂 canlan
陡直 douzhi
朴素 pusu
朴素 piaosu
憋屈 biequ
焦烂 jiaolan
优秀 youxiu
畏怯 weiqie
俊秀 junxiu
埋汰 maitai
埋汰 mantai
虚空 xukong
谦和 qianhe
奇巧 qiqiao
奇巧 jiqiao
抠门 koumen
可嘉 kejia
琐屑 suoxie
坚贞 jianzhen
惶悚 huangsong
工巧 gongqiao
偏远 pianyuan
峭拔 qiaoba
适中 shizhong
殷切 yinqie
殷切 yanqie
娟秀 juanxiu
放荡 fangdang
贫贱 pinjian
可悲 kebei
虎势 hushi
顺心 shunxin
理屈 liqu
恳切 kenqie
邪门儿 xiemener
哀恸 aitong
悲切 beiqie
内秀 neixiu
淫猥 yinwei
快活 kuaihuo
顺当 shundang
挺拔 tingba
空虚 kongxu
险要 xianyao
庸碌 yonglu
清秀 qingxiu
悲恸 beitong
空幻 konghuan
慈悲 cibei
适当 shidang
心安 xinan
丰实 fengshi
丰饶 fengrao
热切 reqie
纤巧 xianqiao
康乐 kangle
灵虚 lingxu
萧疏 xiaoshu
便捷 bianjie
性急 xingji
尖利 jianli
豪横 haoheng
醇美 chunmei
势利 shili
诡诈 guizha
险绝 xianjue
艰涩 jianse
戆直 gangzhi
灵秀 lingxiu
卖座 maizuo
流利 liuli
着急 zhuoji
着急 zhaoji
重大 zhongda
普通 putong
便当 biandang
丧气 sangqi
不济 buji
刻毒 kedu
秀挺 xiuting
入时 rushi
扎实 zhashi
驯顺 xunshun
肃杀 susha
恶劣 elie
中肯 zhongken
舒坦 shutan
歹毒 daidu
定当 dingdang
酸腐 suanfu
快当 kuaidang
得当 dedang
小气 xiaoqi
恶毒 edu
随顺 suishun
允当 yundang
偏心眼 pianxinyan
欣快 xinkuai
俭朴 jianpu
藐小 miaoxiao
聪敏 congmin
苍莽 cangmang
中听 zhongting
不耐烦 bunaifan
轩昂 xuanang
老成 laocheng
安适 anshi
矫捷 jiaojie
洋气 yangqi
淘气 taoqi
绝情 jueqing
愚妄 yuwang
蜜甜 mitian
鲁莽 lumang
孤寒 guhan
可亲 keqin
憋气 bieqi
烦难 fannan
好听 haoting
自如 ziru
矫情 jiaoqing
合适 heshi
动听 dongting
丰沛 fengpei
硬气 yingqi
困穷 kunqiong
鲜甜 xiantian
秀气 xiuqi
不景气 bujingqi
精当 jingdang
光溜 guangliu
上算 shangsuan
浑朴 hunpu
自傲 ziao
耐磨 naimo
恬适 tianshi
善感 shangan
宏亮 hongliang
朴质 puzhi
朴质 piaozhi
简朴 jianpu
心重 xinzhong
充沛 chongpei
淫逸 yinyi
强硬 qiangying
强硬 jiangying
素朴 supu
危重 weizhong
缥缈 piaomiao
跷蹊 qiaoqi
清亮 qingliang
轻闲 qingxian
痴肥 chifei
浓重 nongzhong
直溜 zhiliu
没出息 meichuxi
清纯 qingchun
持重 chizhong
晶亮 jingliang
严整 yanzheng
明亮 mingliang
惨重 canzhong
急进 jijin
敞亮 changliang
孤高 gugao
尖细 jianxi
嘴笨 zuiben
不规则 buguize
爽利 shuangli
笨重 benzhong
羞惭 xiucan
粗鲁 culu
繁重 fanzhong
光润 guangrun
浅近 qianjin
圆润 yuanrun
心细 xinxi
微细 weixi
娇娆 jiaorao
拙笨 zhuoben
工细 gongxi
抱团儿 baotuaner
清润 qingrun
不人道 burendao
温润 wenrun
散漫 sanman
滑润 huarun
潮润 chaorun
贴切 tieqie
艰危 jianwei
绚丽 xuanli
卓越 zhuoyue
幽暗 youan
迷幻 mihuan
柔润 rourun
粗笨 cuben
最高 zuigao
艰巨 jianju
紧缺 jinque
机警 jijing
正规 zhenggui
秀润 xiurun
细润 xirun
明细 mingxi
红润 hongrun
柔细 rouxi
相宜 xiangyi
贴合 tiehe
清淡 qingdan
奸猾 jianhua
较差 jiaocha
纤细 xianxi
甜润 tianrun
执著 zhizhu
简明 jianming
刺鼻 cibi
邈远 miaoyuan
琐细 suoxi
炽灼 chizhuo
齐备 qibei
繁冗 fanrong
平常 pingchang
呛鼻 qiangbi
在行 zaixing
奸滑 jianhua
酷虐 kunve
冗杂 rongza
英挺 yingting
难看 nankan
频繁 pinfan
光滑 guanghua
害臊 haisao
圆滑 yuanhua
严紧 yanjin
惧内 junei
懂行 dongxing
易行 yixing
硬棒 yingbang
逸群 yiqun
上相 shangxiang
可耻 kechi
鲁直 luzhi
张狂 zhangkuang
时行 shixing
葳蕤 weirui
油滑 youhua
浮滑 fuhua
麻利 mali
勇武 yongwu
刺眼 ciyan
入眼 ruyan
严实 yanshi
急遽 jiju
聱牙 aoya
锋利 fengli
歉疚 qianjiu
盘陀 pantuo
口紧 koujin
胡涂 hutu
年轻 nianqing
扎眼 zhayan
招眼 zhaoyan
好受 haoshou
抢眼 qiangyan
吃紧 chijin
危笃 weidu
平稳 pingwen
工稳 gongwen
狎昵 xiani
平实 pingshi
俗艳 suyan
迷瞪 mideng
贫气 pinqi
稚拙 zhizhuo
碍眼 aiyan
匀实 yunshi
阴毒 yindu
独特 dute
老气 laoqi
厚实 houshi
悭吝 qianlin
俊俏 junqiao
难得 nande
坚实 jianshi
下贱 xiajian
细发 xifa
顺气 shunqi
殷实 yinshi
殷实 yanshi
怅惘 changwang
扎耳朵 zhaerduo
素净 sujing
平直 pingzhi
危殆 weidai
窝囊 wonang
特殊 teshu
凄厉 qili
舒适 shushi
刚直 gangzhi
劲直 jinzhi
愚鲁 yulu
开朗 kailang
板实 banshi
愚忠 yuzhong
青翠 qingcui
透彻 touche
执着 zhizhuo
敦实 dunshi
嘴直 zuizhi
坦直 tanzhi
贫寒 pinhan
笃实 dushi
健朗 jianlang
硬实 yingshi
耐寒 naihan
牢稳 laowen
正直 zhengzhi
结实 jieshi
暗昧 anmei
暧昧 aimei
梗直 gengzhi
多事 duoshi
轩敞 xuanchang
鄙吝 bilin
潦倒 liaodao
颓败 tuibai
清朗 qinglang
皮实 pishi
顺溜 shunliu
瓷实 cishi
憨直 hanzhi
清寒 qinghan
明澈 mingche
朴直 puzhi
朴直 piaozhi
吃惊 chijing
晴朗 qinglang
明朗 minglang
豁亮 huoliang
尊贵 zungui
精干 jinggan
贵重 guizhong
硬朗 yinglang
过硬 guoying
爽直 shuangzhi
率直 lvzhi
悠扬 youyang
